惱巴巴	ㄋㄠˇ　ㄅㄚ　ㄅㄚ
西泠八家	ㄒ｜　ㄌ｜ㄥˊ　ㄅㄚ　ㄐ｜ㄚ
八字鬍	ㄅㄚ　ㄗˋ　ㄏㄨˊ
把式	ㄅㄚˇ　˙ㄕ
把弄	ㄅㄚˇ　ㄋㄨㄥˋ
芭棚	ㄅㄚ　ㄆㄥˊ
七了八當	ㄑ｜　ㄌ｜ㄠˇ　ㄅㄚ　ㄉㄤˋ
拔地搖山	ㄅㄚˊ　ㄉ｜ˋ　｜ㄠˊ　ㄕㄢ
把鼻	ㄅㄚˇ　ㄅ｜ˊ
笆籬子	ㄅㄚ　ㄌ｜ˊ　˙ㄗ
帕巴拉	ㄆㄚˋ　ㄅㄚ　ㄌㄚ
巴想	ㄅㄚ　ㄒ｜ㄤˇ
罷閒	ㄅㄚˋ　ㄒ｜ㄢˊ
大把	ㄉㄚˋ　ㄅㄚˇ
狗長尾巴尖兒	ㄍㄡˇ　ㄓㄤˇ　ㄨㄟˇ　˙ㄅㄚ　ㄐ｜ㄢㄦ　(變)ㄍㄡˇ　ㄓㄤˇ　ㄨㄟˇ　˙ㄅㄚ　ㄐ｜ㄚㄦ
拔類超群	ㄅㄚˊ　ㄌㄟˋ　ㄔㄠ　ㄑㄩㄣˊ
打靶	ㄉㄚˇ　ㄅㄚˇ
八駿馬	ㄅㄚ　ㄐㄩㄣˋ　ㄇㄚˇ
拔錨	ㄅㄚˊ　ㄇㄠˊ
把齋	ㄅㄚˇ　ㄓㄞ
老八股	ㄌㄠˇ　ㄅㄚ　ㄍㄨˇ
腰把子	｜ㄠ　ㄅㄚˇ　˙ㄗ
作罷	ㄗㄨㄛˋ　ㄅㄚˋ
嘴巴	ㄗㄨㄟˇ　˙ㄅㄚ
拔爾波亞	ㄅㄚˊ　ㄦˇ　ㄅㄛ　｜ㄚˋ
八更	ㄅㄚ　ㄍㄥ
八書	ㄅㄚ　ㄕㄨ
